"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.800050542E0,-1.107696533E-2,9.969268799E-2,9.809401245E0,9.809914073E0
1.810096542E0,-8.831634521E-3,9.550140381E-2,9.879305878E0,9.879771411E0
1.820143542E0,-7.035369873E-3,8.861572266E-2,9.852960663E0,9.853361663E0
1.830190542E0,-9.131011963E-3,9.011260986E-2,9.836045837E0,9.836462849E0
1.840236542E0,-6.286926270E-3,9.714797974E-2,9.824220428E0,9.824702758E0
1.850283542E0,-1.886077881E-2,9.340576172E-2,9.860744476E0,9.861204896E0
1.860329542E0,-1.496887207E-2,8.876541138E-2,9.850266266E0,9.850677585E0
1.870376542E0,-1.377136230E-2,8.547225952E-2,9.839638367E0,9.840019225E0
1.880423542E0,-2.080673218E-2,8.367599487E-2,9.900411987E0,9.900787449E0
1.890469542E0,-2.365081787E-2,8.187973022E-2,9.861193542E0,9.861561830E0
1.900516542E0,-1.541793823E-2,6.960525513E-2,9.842183075E0,9.842441277E0
1.910562542E0,-1.781295776E-2,6.706054688E-2,9.937684479E0,9.937926706E0
1.920609542E0,2.993774414E-4,6.451583862E-2,9.908195801E0,9.908405846E0
1.930656542E0,-3.592529297E-3,6.631210327E-2,9.845027161E0,9.845251139E0
1.940702542E0,-2.844085693E-3,6.855743408E-2,9.937983856E0,9.938220733E0
1.950749542E0,8.981323242E-4,7.319778442E-2,9.945019226E0,9.945288640E0
1.960795542E0,1.212478638E-2,7.125183105E-2,9.824519806E0,9.824785659E0
1.970842542E0,1.047821045E-2,6.930587769E-2,9.877210236E0,9.877458941E0
1.980889542E0,2.993774414E-3,8.607101440E-2,9.906848602E0,9.907222941E0
1.990935542E0,-4.490661621E-4,8.637039185E-2,9.846524048E0,9.846902857E0
2.000982542E0,-1.197509766E-2,8.397537231E-2,9.885742493E0,9.886106407E0
2.011029542E0,-9.729766846E-3,8.951385498E-2,9.909542999E0,9.909952061E0
2.021075542E0,-7.933502197E-3,8.457412720E-2,9.890532532E0,9.890897304E0
2.031122542E0,-7.035369873E-3,9.310638428E-2,9.858648834E0,9.859090989E0
2.041168542E0,-5.987548828E-4,9.145980835E-2,9.837991791E0,9.838416932E0
2.051215542E0,-7.634124756E-3,8.996292114E-2,9.880653076E0,9.881065571E0
2.061261542E0,-1.062789917E-2,8.771759033E-2,9.875114594E0,9.875509889E0
2.071308542E0,-5.987548828E-4,8.816665649E-2,9.775122528E0,9.775520148E0
2.081355542E0,-1.257385254E-2,8.876541138E-2,9.765841827E0,9.766253324E0
2.091401542E0,-1.990859985E-2,8.217910767E-2,9.816436615E0,9.816800781E0
2.101448542E0,-9.430389404E-3,7.214996338E-2,9.769733734E0,9.770004697E0
2.111495542E0,-6.586303711E-3,7.214996338E-2,9.724976807E0,9.725246675E0
2.121541542E0,-8.083190918E-3,8.232879639E-2,9.815987549E0,9.816336125E0
2.131588542E0,-1.646575928E-3,1.022373962E-1,9.846823425E0,9.847354303E0
2.141634542E0,-4.490661621E-3,9.909393311E-2,9.789792023E0,9.790294563E0
2.151681542E0,-1.242416382E-2,9.535171509E-2,9.852661285E0,9.853130503E0
2.161728542E0,-1.930984497E-2,9.220825195E-2,9.923613739E0,9.924060906E0
2.171774542E0,-1.841171265E-2,8.173004150E-2,9.888885956E0,9.889240832E0
2.181821542E0,-1.317260742E-2,8.247848511E-2,9.857002258E0,9.857356123E0
2.191867542E0,-1.511856079E-2,8.113128662E-2,9.929451599E0,9.929794556E0
2.201914542E0,-8.532257080E-3,9.131011963E-2,9.907297668E0,9.907722111E0
2.211961542E0,-1.032852173E-2,8.921447754E-2,9.805808716E0,9.806219989E0
2.222007542E0,-5.837860107E-3,9.340576172E-2,9.831106110E0,9.831551559E0
2.232054542E0,-1.047821045E-3,1.080752563E-1,9.902507629E0,9.903097430E0
2.242100542E0,-0.000000000E0,1.010398865E-1,9.845326538E0,9.845844997E0
2.252147542E0,5.388793945E-3,1.058299255E-1,9.816735992E0,9.817307908E0
2.262194542E0,7.035369873E-3,9.445358276E-2,9.895322571E0,9.895775854E0
2.272240542E0,1.317260742E-2,8.143066406E-2,9.884994049E0,9.885338225E0
2.282287542E0,4.191284180E-3,8.202941895E-2,9.840386810E0,9.840729595E0
2.292333542E0,1.496887207E-4,7.035369873E-2,9.860594788E0,9.860845766E0
2.302380542E0,-1.347198486E-3,6.017486572E-2,9.876611481E0,9.876794883E0
2.312427542E0,2.993774414E-3,7.214996338E-2,9.851164398E0,9.851429063E0
2.322473542E0,7.484436035E-4,7.499404907E-2,9.838440857E0,9.838726704E0
2.332520542E0,-3.891906738E-3,7.544311523E-2,9.883946228E0,9.884234915E0
2.342566542E0,-8.232879639E-3,8.083190918E-2,9.893226929E0,9.893560564E0
2.352613542E0,-9.280700684E-3,8.397537231E-2,9.827214203E0,9.827577371E0
2.362660542E0,-2.514770508E-2,9.220825195E-2,9.825567627E0,9.826032463E0
2.372706542E0,-3.128494263E-2,8.113128662E-2,9.895771637E0,9.896153663E0
2.382753542E0,-2.499801636E-2,9.056167603E-2,9.902956696E0,9.903402326E0
2.392799542E0,-4.041595459E-2,7.424560547E-2,9.833650818E0,9.834014148E0
2.402846542E0,-3.996688843E-2,8.232879639E-2,9.852810974E0,9.853235990E0
2.412893542E0,-3.966751099E-2,8.008346558E-2,9.920919342E0,9.921321861E0
2.422939542E0,-3.847000122E-2,9.145980835E-2,9.914632416E0,9.915128884E0
2.432986542E0,-3.053649902E-2,9.774673462E-2,9.857900391E0,9.858432280E0
2.443032542E0,-2.799179077E-2,9.026229858E-2,9.877958679E0,9.878410727E0
2.453079542E0,-2.050735474E-2,7.918533325E-2,9.925859070E0,9.926196106E0
2.463126542E0,-1.272354126E-2,7.544311523E-2,9.845625916E0,9.845923178E0
2.473172542E0,-1.451980591E-2,7.349716187E-2,9.829309845E0,9.829595347E0
2.483219542E0,-8.232879639E-3,7.424560547E-2,9.908046112E0,9.908327707E0
2.493265542E0,-1.646575928E-3,7.379653931E-2,9.881102142E0,9.881377849E0
2.503312542E0,-4.340972900E-3,7.888595581E-2,9.799372101E0,9.799690577E0
2.513359542E0,-4.041595459E-3,7.708969116E-2,9.826016693E0,9.826319922E0
2.523405542E0,-2.993774414E-4,7.843688965E-2,9.886490936E0,9.886802085E0
2.533452542E0,7.185058594E-3,8.681945801E-2,9.850715332E0,9.851100537E0
2.543498542E0,5.688171387E-3,9.250762939E-2,9.770931244E0,9.771370804E0
2.553545542E0,3.442840576E-3,9.041198730E-2,9.834548950E0,9.834965136E0
2.563592542E0,5.239105225E-3,8.622070312E-2,9.876910858E0,9.877288573E0
2.573638542E0,7.484436035E-4,9.355545044E-2,9.781259766E0,9.781707202E0
2.583685542E0,-7.634124756E-3,9.385482788E-2,9.808652802E0,9.809104790E0
2.593731542E0,4.490661621E-4,9.909393311E-2,9.884694672E0,9.885191377E0
2.603778542E0,4.191284180E-3,1.116677856E-1,9.849817200E0,9.850451062E0
2.613825542E0,-2.095642090E-3,1.212478638E-1,9.823921051E0,9.824669473E0
2.623871542E0,1.496887207E-3,1.154100037E-1,9.870474243E0,9.871149046E0
2.633918542E0,-4.340972900E-3,9.939331055E-2,9.913135529E0,9.913634746E0
2.643964542E0,-1.017883301E-2,9.819580078E-2,9.854906616E0,9.855401080E0
2.654011542E0,-2.200424194E-2,9.265731812E-2,9.833650818E0,9.834111957E0
2.664058542E0,-2.454895020E-2,7.214996338E-2,9.888885956E0,9.889179628E0
2.674104542E0,-2.350112915E-2,7.544311523E-2,9.892478485E0,9.892794072E0
2.684151542E0,-1.945953369E-2,7.574249268E-2,9.843380585E0,9.843691225E0
2.694197542E0,-1.347198486E-2,7.813751221E-2,9.867630157E0,9.867948717E0
2.704244542E0,-1.751358032E-2,7.259902954E-2,9.955647125E0,9.955927231E0
2.714291542E0,-6.586303711E-3,7.544311523E-2,9.904902649E0,9.905192150E0
2.724337542E0,-9.729766846E-3,6.526428223E-2,9.846524048E0,9.846745143E0
2.734384542E0,-2.200424194E-2,5.643264771E-2,9.890682220E0,9.890867688E0
2.744430542E0,-2.484832764E-2,4.984634399E-2,9.931098175E0,9.931254355E0
2.754477542E0,-3.053649902E-2,4.790039063E-2,9.882299652E0,9.882462919E0
2.764524542E0,-2.784210205E-2,5.254074097E-2,9.858349457E0,9.858528781E0
2.774570542E0,-2.484832764E-2,5.538482666E-2,9.867330780E0,9.867517501E0
2.784617542E0,-2.335144043E-2,6.676116943E-2,9.870773621E0,9.871027009E0
2.794663542E0,-1.511856079E-2,8.158035278E-2,9.826914825E0,9.827265078E0
2.804710542E0,-6.885681152E-3,1.046324158E-1,9.811945953E0,9.812506242E0
2.814757542E0,7.634124756E-3,1.130149841E-1,9.829160156E0,9.829812818E0
2.824803542E0,1.257385254E-2,1.152603149E-1,9.820478210E0,9.821162626E0
2.834850542E0,1.197509766E-2,1.169068909E-1,9.768685913E0,9.769392770E0
2.844896542E0,1.107696533E-2,1.067280579E-1,9.801467743E0,9.802055065E0
2.854943542E0,5.388793945E-3,9.849517822E-2,9.860894165E0,9.861387533E0
2.864990542E0,-1.496887207E-4,1.013392639E-1,9.847721558E0,9.848242967E0
2.875036542E0,7.484436035E-4,9.550140381E-2,9.840686188E0,9.841149614E0
2.885083542E0,1.347198486E-3,8.966354370E-2,9.885443115E0,9.885849835E0
2.895129542E0,7.334747314E-3,9.026229858E-2,9.903256073E0,9.903670124E0
2.905176542E0,-1.347198486E-3,8.517288208E-2,9.857451324E0,9.857819376E0
2.915223542E0,3.742218018E-3,8.771759033E-2,9.868977356E0,9.869367884E0
2.925269542E0,-2.993774414E-4,8.652008057E-2,9.925859070E0,9.926236149E0
2.935316542E0,7.484436035E-4,8.487350464E-2,9.882748718E0,9.883113189E0
2.945362542E0,-5.538482666E-3,7.140151978E-2,9.835147705E0,9.835408443E0
2.955409542E0,-2.155517578E-2,6.900650024E-2,9.875114594E0,9.875379221E0
2.965456542E0,-1.990859985E-2,7.020401001E-2,9.900861053E0,9.901129964E0
